,natdox,r2v78,r2v53,r2v4,r1v16,neprod,kvzv,r1v72,r2v63,pitres,chdet,r1v15,doxodsn,drras,r2v79,r2v75,r2v54,rasq,rasres,prod
chdet,0.1831486192473291,0.0025218273861409668,-0.012621951017446318,-0.07482164098522764,-0.2971414337198861,0.14627789653040107,0.0024191481257724427,-0.23918656394578966,0.13668199797440791,0.012970724177247591,1.0,-0.07291593879121927,0.11659695101617108,-0.0637557706691475,-0.08021757745538464,-0.00909190742068065,-0.01845866486229118,-0.333959107432635,-0.27935298082883836,0.14940517483951246
r1v15,0.013082564436342361,-0.0006046490892158684,-0.006491485759920597,-0.0004976647784505888,-0.32639788849872764,-0.005418634262400206,0.000466844994971693,0.156756481796712,0.06131965776353024,0.008089695392082288,-0.07291593879121927,1.0,0.023868387974463254,-0.013783824241003828,-0.062465927323621724,0.013656017304288613,-0.006336260116762402,-0.14016670951788468,-0.12891543269753672,0.11404754004291116
doxodsn,0.05165003168601868,0.012664047811564303,-0.0017871042788636454,-0.034613858093264005,-0.10969158285928177,0.6472067651107221,0.2512657902599821,-0.15940246278067802,-0.009676784375791203,0.3847082543592889,0.11659695101617108,0.023868387974463254,1.0,0.2496008514553952,-0.1041644949540155,-0.008182100741469989,-0.0068581807503160985,0.5239959594881985,0.6117713802647622,0.5995672295231435
drras,0.14051127889663265,-0.004666793458093951,0.008067572643555733,0.03981492832377339,0.016621979747144987,0.1781835699931261,0.06097194962353174,-0.0025732095961084676,-0.0619014349952265,0.04332894311868554,-0.0637557706691475,-0.013783824241003828,0.2496008514553952,1.0,0.0773688598941482,-0.012740784901809273,0.002526010683576501,0.16626437212457432,0.2776473390473411,0.017414811306423875
r2v79,0.06084394575847889,0.022363282627353997,0.004340152979179368,0.13387000230427765,0.01660483485553965,-0.06791071681426747,-0.026052511488347876,,-0.6325689783012873,-0.0665775069228863,-0.08021757745538464,-0.062465927323621724,-0.1041644949540155,0.0773688598941482,1.0,-0.025095790386376306,0.0028866469378730163,-0.026223350591039116,-0.0038491192622392314,-0.13719272443100644
r2v75,-0.025322353075900188,0.008638527451026966,0.0185481878281405,0.025210395257846584,0.026290176156695863,-0.011479764096223043,-0.006571196867538621,,-0.05177584785616811,0.01973576507390891,-0.00909190742068065,0.013656017304288613,-0.008182100741469989,-0.012740784901809273,-0.025095790386376306,1.0,0.026848494448164863,-0.0009560899457906935,-0.008097355619626403,0.046328504776866015
r2v54,-0.008457867506460725,0.028525661282772917,0.33979459532398815,0.07443635963764388,0.013848131342989836,-0.007715012551872646,0.0013474920874265307,0.0182675995582951,-0.024108560701544136,-0.005013704687123174,-0.01845866486229118,-0.006336260116762402,-0.0068581807503160985,0.002526010683576501,0.0028866469378730163,0.026848494448164863,1.0,0.017413314234241452,0.010743632257167993,-0.0016900915148233173
rasq,-0.027111341162719012,0.013660471374213794,0.012221972969451256,0.03398021789915369,0.24993756825627864,0.5235787628876,0.19024625216446933,-0.058205473174169374,-0.11148799696384609,0.30266023542291176,-0.333959107432635,-0.14016670951788468,0.5239959594881985,0.16626437212457432,-0.026223350591039116,-0.0009560899457906935,0.017413314234241452,1.0,0.8477168164508151,0.33464386632515014
rasres,-0.0009260525773450046,0.00877987447721053,0.00928892986450562,0.02274296778393583,0.20499539546156978,0.4630281182933894,0.2004258965794369,-0.08137669260837888,-0.09180202144403142,0.2596335318841705,-0.27935298082883836,-0.12891543269753672,0.6117713802647622,0.2776473390473411,-0.0038491192622392314,-0.008097355619626403,0.010743632257167993,0.8477168164508151,1.0,0.23674934452921056
prod,-0.05791852069726858,0.010143444058844972,-0.0029840634120790062,-0.0009055325430523379,-0.11154033881997606,0.3172566001825835,0.10868477956335312,-0.06157708112454492,-0.01713351678337409,0.20488038094968572,0.14940517483951246,0.11404754004291116,0.5995672295231435,0.017414811306423875,-0.13719272443100644,0.046328504776866015,-0.0016900915148233173,0.33464386632515014,0.23674934452921056,1.0
